r,f,l,val
ecuador,fuel_electricity,dec_feb_we0,0.016372050419018458
ecuador,fuel_electricity,dec_feb_we12,0.017859082821104856
ecuador,fuel_electricity,dec_feb_we18,0.017030929202709703
ecuador,fuel_electricity,dec_feb_we6,0.016259273999196196
ecuador,fuel_electricity,jun_aug_wd0,0.04464932856438484
ecuador,fuel_electricity,jun_aug_wd12,0.04870471543453001
ecuador,fuel_electricity,jun_aug_wd18,0.046446201560998567
ecuador,fuel_electricity,jun_aug_wd6,0.04434176834473698
ecuador,fuel_electricity,jun_aug_we0,0.017026378474629646
ecuador,fuel_electricity,jun_aug_we12,0.018572841857893437
ecuador,fuel_electricity,jun_aug_we18,0.01771159011598882
ecuador,fuel_electricity,jun_aug_we6,0.01690909481389299
ecuador,fuel_electricity,mar_may_wd0,0.04383525314600997
ecuador,fuel_electricity,mar_may_wd12,0.04781669958145801
ecuador,fuel_electricity,mar_may_wd18,0.04559936439270454
ecuador,fuel_electricity,mar_may_wd6,0.043533300563084444
ecuador,fuel_electricity,mar_may_we0,0.01671594253693899
ecuador,fuel_electricity,mar_may_we12,0.018234209800211492
ecuador,fuel_electricity,mar_may_we18,0.017388660956752615
ecuador,fuel_electricity,mar_may_we6,0.016600797267713532
ecuador,fuel_electricity,sep_nov_wd0,0.04411661734886476
ecuador,fuel_electricity,sep_nov_wd12,0.048123619391321336
ecuador,fuel_electricity,sep_nov_wd18,0.0458920518506805
ecuador,fuel_electricity,sep_nov_wd6,0.043812726630723914
ecuador,fuel_electricity,sep_nov_we0,0.016823236723907783
ecuador,fuel_electricity,sep_nov_we12,0.018351249249899042
ecuador,fuel_electricity,sep_nov_we18,0.01750027310400114
ecuador,fuel_electricity,sep_nov_we6,0.016707352374728108
el_salvador,fuel_electricity,dec_feb_wd0,0.042933443510648275
el_salvador,fuel_electricity,dec_feb_wd12,0.04683298083184519
el_salvador,fuel_electricity,dec_feb_wd18,0.04466126222094936
el_salvador,fuel_electricity,dec_feb_wd6,0.042637702908472526
el_salvador,fuel_electricity,dec_feb_we0,0.016372050419018458
el_salvador,fuel_electricity,dec_feb_we12,0.017859082821104856
el_salvador,fuel_electricity,dec_feb_we18,0.017030929202709703
el_salvador,fuel_electricity,dec_feb_we6,0.016259273999196196
el_salvador,fuel_electricity,jun_aug_wd0,0.04464932856438484
el_salvador,fuel_electricity,jun_aug_wd12,0.04870471543453001
el_salvador,fuel_electricity,jun_aug_wd18,0.046446201560998567
el_salvador,fuel_electricity,jun_aug_wd6,0.04434176834473698
el_salvador,fuel_electricity,jun_aug_we0,0.017026378474629646
el_salvador,fuel_electricity,jun_aug_we12,0.018572841857893437
el_salvador,fuel_electricity,jun_aug_we18,0.01771159011598882
