iso_code3,year,time_period,frac_enfu_transmission_loss_fuel_electricity
JAM,2037,22,0.24610263433913723
JAM,2038,23,0.24610263433913723
JAM,2039,24,0.24610263433913723
JAM,2040,25,0.24610263433913723
JAM,2041,26,0.24610263433913723
JAM,2042,27,0.24610263433913723
JAM,2043,28,0.24610263433913723
JAM,2044,29,0.24610263433913723
JAM,2045,30,0.24610263433913723
JAM,2046,31,0.24610263433913723
JAM,2047,32,0.24610263433913723
JAM,2048,33,0.24610263433913723
JAM,2049,34,0.24610263433913723
JAM,2050,35,0.24610263433913723
MEX,2010,-5,0.160602750265844
MEX,2011,-4,0.150625431460177
MEX,2012,-3,0.143378858697775
MEX,2013,-2,0.143008011408353
MEX,2014,-1,0.13705654469711
MEX,2015,0,0.1469343193058518
MEX,2016,1,0.1469343193058518
MEX,2017,2,0.1469343193058518
MEX,2018,3,0.1469343193058518
MEX,2019,4,0.1469343193058518
MEX,2020,5,0.1469343193058518
MEX,2021,6,0.1469343193058518
MEX,2022,7,0.1469343193058518
MEX,2023,8,0.1469343193058518
MEX,2024,9,0.1469343193058518
MEX,2025,10,0.1469343193058518
MEX,2026,11,0.1469343193058518
MEX,2027,12,0.1469343193058518
MEX,2028,13,0.1469343193058518
MEX,2029,14,0.1469343193058518
MEX,2030,15,0.1469343193058518
MEX,2031,16,0.1469343193058518
MEX,2032,17,0.1469343193058518
MEX,2033,18,0.1469343193058518
MEX,2034,19,0.1469343193058518
MEX,2035,20,0.1469343193058518
MEX,2036,21,0.1469343193058518
MEX,2037,22,0.1469343193058518
MEX,2038,23,0.1469343193058518
MEX,2039,24,0.1469343193058518
MEX,2040,25,0.1469343193058518
MEX,2041,26,0.1469343193058518
MEX,2042,27,0.1469343193058518
MEX,2043,28,0.1469343193058518
MEX,2044,29,0.1469343193058518
MEX,2045,30,0.1469343193058518
MEX,2046,31,0.1469343193058518
MEX,2047,32,0.1469343193058518
MEX,2048,33,0.1469343193058518
MEX,2049,34,0.1469343193058518
