year,iso_code3,prodinit_ippu_cement_tonne,prodinit_ippu_chemicals_tonne,prodinit_ippu_electronics_tonne,prodinit_ippu_glass_tonne,prodinit_ippu_lime_and_carbonite_tonne,prodinit_ippu_metals_tonne,prodinit_ippu_mining_tonne,prodinit_ippu_paper_tonne,prodinit_ippu_plastic_tonne,prodinit_ippu_rubber_and_leather_tonne,prodinit_ippu_textiles_tonne
2014,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2015,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2016,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2017,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2018,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2019,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2020,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2021,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2022,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2023,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2024,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2025,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2026,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2027,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2028,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2029,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2030,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2031,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2032,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2033,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2034,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2035,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2036,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2037,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2038,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2039,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
2040,SYR,16430103.78,177732.591675456,122965.513667746,32071.1939725976,1814.63614882196,1526722.5483194,32890.4051606344,465630.763354564,389069.822185549,7781.06592754502,94897.7851841716
